集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
稲,直播水稲,殺虫剤,18721,ＭＥＰマイクロカプセル剤,サンケイスミチオンＭＣ,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,5052,ＭＥＰ乳剤,サンケイスミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,5052,ＭＥＰ乳剤,サンケイスミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,12257,ＭＥＰ乳剤,サンケイスミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,12257,ＭＥＰ乳剤,サンケイスミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,23838,燐酸第二鉄粒剤,スクミンブルー,スクミリンゴガイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,23398,燐酸第二鉄粒剤,スクミンベイト３,スクミリンゴガイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21276,ジノテフラン粒剤,スタークル１キロＨ粒剤,イネミズゾウムシ,無人航空機による散布
稲,直播水稲,殺虫剤,21276,ジノテフラン粒剤,スタークル１キロＨ粒剤,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,21276,ジノテフラン粒剤,スタークル１キロＨ粒剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,21276,ジノテフラン粒剤,スタークル１キロＨ粒剤,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,21607,ジノテフラン水溶剤,スタークルエアー５０,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21607,ジノテフラン水溶剤,スタークルエアー５０,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21277,ジノテフラン粒剤,スタークルメイト１キロＨ粒剤,イネミズゾウムシ,無人航空機による散布
稲,直播水稲,殺虫剤,21277,ジノテフラン粒剤,スタークルメイト１キロＨ粒剤,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,21277,ジノテフラン粒剤,スタークルメイト１キロＨ粒剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,21277,ジノテフラン粒剤,スタークルメイト１キロＨ粒剤,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,21608,ジノテフラン水溶剤,スタークルメイトエアー５０,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21608,ジノテフラン水溶剤,スタークルメイトエアー５０,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21260,ジノテフラン液剤,スタークルメイト液剤１０,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,21260,ジノテフラン液剤,スタークルメイト液剤１０,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,21260,ジノテフラン液剤,スタークルメイト液剤１０,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,21259,ジノテフラン液剤,スタークル液剤１０,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,21259,ジノテフラン液剤,スタークル液剤１０,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,21259,ジノテフラン液剤,スタークル液剤１０,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,24344,エトフェンプロックス・ジノテフラン乳剤,スタートレボンＷ１０,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,24344,エトフェンプロックス・ジノテフラン乳剤,スタートレボンＷ１０,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,24344,エトフェンプロックス・ジノテフラン乳剤,スタートレボンＷ１０,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,18718,ＭＥＰマイクロカプセル剤,スミチオンＭＣ,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19172,ＢＰＭＣ・ＭＥＰマイクロカプセル剤,スミバッサＭＣ,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19172,ＢＰＭＣ・ＭＥＰマイクロカプセル剤,スミバッサＭＣ,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22101,クロチアニジン水和剤,ダントツＥＸフロアブル,アカヒゲホソミドリカスミカメ,無人航空機による散布
稲,直播水稲,殺虫剤,22101,クロチアニジン水和剤,ダントツＥＸフロアブル,イネドロオイムシ,無人航空機による散布
稲,直播水稲,殺虫剤,22101,クロチアニジン水和剤,ダントツＥＸフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,22101,クロチアニジン水和剤,ダントツＥＸフロアブル,カメムシ類（アカヒゲホソミドリカスミカメを除く）,無人航空機による散布
稲,直播水稲,殺虫剤,21258,クロチアニジン水和剤,ダントツフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,21258,クロチアニジン水和剤,ダントツフロアブル,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,20479,ＢＴ水和剤,チューンアップ顆粒水和剤,フタオビコヤガ,無人航空機による散布
稲,直播水稲,殺虫剤,17541,エトフェンプロックス乳剤,トレボンエアー,イナゴ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,17541,エトフェンプロックス乳剤,トレボンエアー,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,17541,エトフェンプロックス乳剤,トレボンエアー,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,17541,エトフェンプロックス乳剤,トレボンエアー,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,17541,エトフェンプロックス乳剤,トレボンエアー,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,17541,エトフェンプロックス乳剤,トレボンエアー,フタオビコヤガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19670,エトフェンプロックスマイクロカプセル剤,トレボンスカイＭＣ,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19670,エトフェンプロックスマイクロカプセル剤,トレボンスカイＭＣ,ヒメトビウンカ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22037,エトフェンプロックス・ジノテフラン水和剤,トレボンスターフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22037,エトフェンプロックス・ジノテフラン水和剤,トレボンスターフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22037,エトフェンプロックス・ジノテフラン水和剤,トレボンスターフロアブル,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22037,エトフェンプロックス・ジノテフラン水和剤,トレボンスターフロアブル,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,24012,ジノテフラン水溶剤,ファームスター顆粒水溶剤５０,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,24012,ジノテフラン水溶剤,ファームスター顆粒水溶剤５０,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18973,シラフルオフェン乳剤,ホクコーＭＲ．ジョーカーＥＷ,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18973,シラフルオフェン乳剤,ホクコーＭＲ．ジョーカーＥＷ,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18973,シラフルオフェン乳剤,ホクコーＭＲ．ジョーカーＥＷ,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,18973,シラフルオフェン乳剤,ホクコーＭＲ．ジョーカーＥＷ,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,24021,スルホキサフロル水和剤,ホクコーエクシードフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,24021,スルホキサフロル水和剤,ホクコーエクシードフロアブル,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,24021,スルホキサフロル水和剤,ホクコーエクシードフロアブル,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,21615,エチプロール・シラフルオフェン水和剤,ホクコーキラップジョーカーフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21615,エチプロール・シラフルオフェン水和剤,ホクコーキラップジョーカーフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21615,エチプロール・シラフルオフェン水和剤,ホクコーキラップジョーカーフロアブル,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21615,エチプロール・シラフルオフェン水和剤,ホクコーキラップジョーカーフロアブル,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21615,エチプロール・シラフルオフェン水和剤,ホクコーキラップジョーカーフロアブル,フタオビコヤガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21684,エチプロール水和剤,ホクコーキラップフロアブル,イネドロオイムシ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21684,エチプロール水和剤,ホクコーキラップフロアブル,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21684,エチプロール水和剤,ホクコーキラップフロアブル,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,4991,ＭＥＰ乳剤,ホクコースミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,4991,ＭＥＰ乳剤,ホクコースミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,19515,テブフェノジド水和剤,ホクコーロムダンエアー,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19515,テブフェノジド水和剤,ホクコーロムダンエアー,ニカメイチュウ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,22647,ＭＥＰ乳剤,ホクサンスミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,22647,ＭＥＰ乳剤,ホクサンスミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,20309,クロマフェノジド水和剤,マトリックフロアブル,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,23412,メタアルデヒド粒剤,メタレックスＲＧ粒剤,スクミリンゴガイ,湛水散布又は無人航空機による散布
稲,直播水稲,殺虫剤,21057,メトキシフェノジド水和剤,ランナーフロアブル,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19513,テブフェノジド水和剤,ロムダンエアー,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19513,テブフェノジド水和剤,ロムダンエアー,ニカメイチュウ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,12333,ＭＥＰ乳剤,一農スミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,12333,ＭＥＰ乳剤,一農スミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,23272,エトフェンプロックス・ＭＥＰ乳剤,協友スミチオントレボン乳剤,ウンカ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,23272,エトフェンプロックス・ＭＥＰ乳剤,協友スミチオントレボン乳剤,カメムシ類,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,23272,エトフェンプロックス・ＭＥＰ乳剤,協友スミチオントレボン乳剤,ツマグロヨコバイ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,21949,ＭＥＰ乳剤,協友スミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,21949,ＭＥＰ乳剤,協友スミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,21547,クロチアニジン水和剤,協友ダントツフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,21547,クロチアニジン水和剤,協友ダントツフロアブル,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,23943,ＢＴ水和剤,兼商チューンアップ顆粒水和剤,フタオビコヤガ,無人航空機による散布
稲,直播水稲,殺虫剤,4962,ＭＥＰ乳剤,住化スミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,4962,ＭＥＰ乳剤,住化スミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,24020,スルホキサフロル水和剤,日産エクシードフロアブル,ウンカ類,無人航空機による散布
稲,直播水稲,殺虫剤,24020,スルホキサフロル水和剤,日産エクシードフロアブル,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,24020,スルホキサフロル水和剤,日産エクシードフロアブル,ツマグロヨコバイ,無人航空機による散布
稲,直播水稲,殺虫剤,4982,ＭＥＰ乳剤,日産スミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,4982,ＭＥＰ乳剤,日産スミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,5042,ＭＥＰ乳剤,日農スミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,5042,ＭＥＰ乳剤,日農スミチオン乳剤,ニカメイチュウ,無人航空機による散布
稲,直播水稲,殺虫剤,23608,メタアルデヒド粒剤,日農メタレックスＲＧ粒剤,スクミリンゴガイ,湛水散布又は無人航空機による散布
稲,直播水稲,殺虫剤,19514,テブフェノジド水和剤,日農ロムダンエアー,コブノメイガ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,19514,テブフェノジド水和剤,日農ロムダンエアー,ニカメイチュウ,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺虫剤,15350,ＭＥＰ乳剤,理研スミチオン乳剤,カメムシ類,無人航空機による散布
稲,直播水稲,殺虫剤,15350,ＭＥＰ乳剤,理研スミチオン乳剤,ニカメイチュウ,無人航空機による散布
